countycode,FIPS,democrat,republican,other,victory_margin,county,GEOID
1,1,17633,26349,681,0.198171979,Adams County,42001
2,3,372474,271886,5927,-0.156105283,Allegheny County,42003
3,5,11138,18542,401,0.249460916,Armstrong County,42005
4,7,40499,42895,1638,0.028731084,Beaver County,42007
5,9,6059,16124,325,0.453725826,Bedford County,42009
6,11,97047,80513,2951,-0.093117819,Berks County,42011
7,13,19813,32708,777,0.245520839,Blair County,42013
8,15,10306,15057,521,0.187320112,Bradford County,42015
9,17,179031,150248,3645,-0.087412195,Bucks County,42017
10,19,32260,57074,1427,0.277766584,Butler County,42019
11,21,32451,31995,1224,-0.007075691,Cambria County,42021
12,23,879,1323,55,0.201634877,Cameron County,42023
13,25,13464,12957,629,-0.019189281,Carbon County,42025
14,27,41950,32992,1169,-0.119532438,Centre County,42027
15,29,137833,114421,2998,-0.092811214,Chester County,42029
16,31,6746,10737,384,0.2282789,Clarion County,42031
17,33,14555,18662,792,0.123641509,Clearfield County,42033
18,35,7097,7504,190,0.027874803,Clinton County,42035
19,37,13191,14447,570,0.045444678,Columbia County,42037
20,39,16780,20750,604,0.105782041,Crawford County,42039
21,41,48306,63739,1780,0.137739301,Cumberland County,42041
22,43,69871,58220,1316,-0.090958771,Dauphin County,42043
23,45,178870,115273,3367,-0.216211163,Delaware County,42045
24,47,7290,6676,395,-0.043963912,Elk County,42047
25,49,75775,50351,1565,-0.201576202,Erie County,42049
26,51,25895,25780,605,-0.002225448,Fayette County,42051
27,53,1038,1366,64,0.136439268,Forest County,42053
28,55,21169,41906,566,0.32876734,Franklin County,42055
29,57,1576,4642,88,0.493084593,Fulton County,42057
30,59,7829,7889,258,0.00381728,Greene County,42059
31,61,6621,11745,364,0.278993793,Huntingdon County,42061
32,63,17065,19727,512,0.072352685,Indiana County,42063
33,65,6447,12057,400,0.303177691,Jefferson County,42065
34,67,3068,6484,267,0.357621441,Juniata County,42067
35,69,67520,39488,1531,-0.261961722,Lackawanna County,42069
36,71,99586,126568,3095,0.119308082,Lancaster County,42071
37,73,19711,21851,787,0.051489341,Lawrence County,42073
38,75,23310,34314,939,0.190962099,Lebanon County,42075
39,77,87089,63382,2002,-0.157551954,Lehigh County,42077
40,79,72492,61127,2349,-0.085055269,Luzerne County,42079
41,81,18381,30280,786,0.244528472,Lycoming County,42081
42,83,6465,9224,326,0.175855695,McKean County,42083
43,85,26411,26565,1192,0.002906977,Mercer County,42085
44,87,5375,10929,198,0.340652601,Mifflin County,42087
45,89,39453,28293,697,-0.164732973,Monroe County,42089
46,91,253553,165962,3473,-0.208791104,Montgomery County,42091
47,93,3347,4555,85,0.15287269,Montour County,42093
48,95,75255,58551,2147,-0.124837451,Northampton County,42095
49,97,14328,19015,592,0.140569235,Northumberland County,42097
50,99,6396,13058,291,0.342448854,Perry County,42099
51,101,595980,117221,4824,-0.671282009,Philadelphia County,42101
52,103,11493,12519,273,0.042728636,Pike County,42103
53,105,2300,5109,174,0.379133486,Potter County,42105
54,107,28300,33767,990,0.088082234,Schuylkill County,42107
55,109,5382,9900,197,0.295641932,Snyder County,42109
56,111,12878,21686,804,0.254831617,Somerset County,42111
57,113,1233,1841,57,0.197787899,Sullivan County,42113
58,115,8381,10633,369,0.118439045,Susquehanna County,42115
59,117,6390,11326,268,0.278618198,Tioga County,42117
60,119,7333,9859,283,0.146928804,Union County,42119
61,121,9238,13718,525,0.195155951,Venango County,42121
62,123,8537,9685,441,0.063000768,Warren County,42123
63,125,46119,50702,1638,0.047334772,Washington County,42125
64,127,9892,12702,338,0.124369302,Wayne County,42127
65,129,72721,102294,1858,0.168974088,Westmoreland County,42129
66,131,5985,6949,339,0.074532241,Wyoming County,42131
67,133,82839,109268,3166,0.137574373,York County,42133
