county,democrat,republican,other
Adams County,14077,31249,1812
Allegheny County,363017,257488,22668
Armstrong County,6849,22676,921
Beaver County,30225,46081,2730
Bedford County,3613,19455,436
Berks County,75169,93094,7671
Blair County,13093,37224,1712
Bradford County,6263,17957,1179
Bucks County,165861,163873,12838
Butler County,26834,61388,3805
Cambria County,17798,40510,1859
Cameron County,469,1495,60
Carbon County,8917,18714,1090
Centre County,36555,35099,3740
Chester County,140188,115582,10867
Clarion County,4256,12545,680
Clearfield County,7700,23909,1083
Clinton County,4533,9701,605
Columbia County,8502,17387,1238
Crawford County,10215,23912,1436
Cumberland County,44282,65649,5137
Dauphin County,64287,60620,5253
Delaware County,169169,106559,9104
Elk County,3637,9704,513
Erie County,54820,57168,5252
Fayette County,17826,34388,1212
Forest County,626,1680,92
Franklin County,17322,49554,2469
Fulton County,904,5676,163
Greene County,4157,10394,404
Huntingdon County,4487,14369,640
Indiana County,11468,24920,1340
Jefferson County,3437,14533,581
Juniata County,1810,8234,358
Lackawanna County,51593,48102,3045
Lancaster County,90066,137145,11940
Lawrence County,13933,25323,1299
Lebanon County,17860,38804,2242
Lehigh County,77087,70285,5659
Luzerne County,51454,77508,3769
Lycoming County,12926,35475,1893
McKean County,3802,11159,611
Mercer County,17631,30034,1929
Mifflin County,3563,14050,626
Monroe County,31930,31706,2308
Montgomery County,251063,160803,15623
Montour County,2851,5274,410
Northampton County,65936,71384,5455
Northumberland County,9184,24418,1369
Perry County,4630,15613,910
Philadelphia County,560542,105418,14267
Pike County,9247,16035,784
Potter County,1300,6247,230
Schuylkill County,16724,43937,2089
Snyder County,3991,11710,632
Somerset County,7367,27347,1016
Sullivan County,756,2318,94
Susquehanna County,5065,13295,840
Tioga County,3642,12928,764
Union County,6138,10605,657
Venango County,5889,15254,953
Warren County,4828,12032,764
Washington County,34436,58941,3568
Wayne County,6398,15269,698
Westmoreland County,59506,116427,5807
Wyoming County,3573,8375,470
York County,67428,126933,8792
