id,PUMA,WGTP,WGTP30,WGTP50,PCTburden30,PCTburden50
79500US4200100,100,4987,4208,3369,84.3793864,67.55564468
79500US4200200,200,2842,2670,2103,93.947924,73.99718508
79500US4200300,300,2298,1898,1435,82.59355962,62.44560487
79500US4200400,400,2453,2123,1359,86.5470852,55.40154912
79500US4200500,500,2640,2477,1794,93.82575758,67.95454545
79500US4200600,600,2601,2434,2266,93.57939254,87.12033833
79500US4200700,700,2471,2471,2471,100,100
79500US4200801,801,5355,4364,3742,81.49393091,69.87861811
79500US4200802,802,3291,2733,2286,83.04466727,69.46216955
79500US4200901,901,6261,5418,4579,86.53569717,73.1352819
79500US4200902,902,1413,1008,836,71.33757962,59.16489738
79500US4200903,903,3118,2839,1985,91.05195638,63.66260423
79500US4201000,1000,3053,2115,1747,69.27612185,57.22240419
79500US4201100,1100,1883,1456,737,77.32342007,39.13967074
79500US4201200,1200,3207,2862,1601,89.24228251,49.92204553
79500US4201300,1300,6357,6357,6113,100,96.1617115
79500US4201400,1400,3563,3097,2305,86.92113388,64.69267471
79500US4201500,1500,4336,3914,3425,90.26752768,78.9898524
79500US4201600,1600,2504,1989,1284,79.43290735,51.27795527
79500US4201701,1701,9285,7902,6651,85.10500808,71.63166397
79500US4201702,1702,5070,4700,4355,92.70216963,85.8974359
79500US4201703,1703,3791,3703,3128,97.67871274,82.51121076
79500US4201801,1801,1277,1277,1183,100,92.63899765
79500US4201802,1802,1650,1566,1249,94.90909091,75.6969697
79500US4201803,1803,1743,1743,1528,100,87.6649455
79500US4201804,1804,5690,4683,2945,82.30228471,51.75746924
79500US4201805,1805,2405,2405,2229,100,92.68191268
79500US4201806,1806,1331,1331,1245,100,93.53869271
79500US4201807,1807,4819,4649,2788,96.47229716,57.85432662
79500US4201900,1900,2690,2470,1897,91.82156134,70.5204461
79500US4202001,2001,1636,1485,641,90.77017115,39.1809291
79500US4202002,2002,4268,3800,3213,89.03467666,75.28116214
79500US4202101,2101,2647,1774,1429,67.01926709,53.98564413
79500US4202102,2102,3264,2759,2186,84.52818627,66.97303922
79500US4202103,2103,3152,2841,1809,90.13324873,57.39213198
79500US4202201,2201,2774,2017,1678,72.71088681,60.49026676
79500US4202202,2202,2253,1808,958,80.24855748,42.521083
79500US4202300,2300,5447,5007,2994,91.92215899,54.96603635
79500US4202400,2400,5475,4881,4247,89.15068493,77.57077626
79500US4202501,2501,4023,2477,1180,61.57096694,29.33134477
79500US4202502,2502,1395,1187,915,85.08960573,65.59139785
79500US4202600,2600,3896,2732,2152,70.12320329,55.23613963
79500US4202700,2700,2436,2155,1467,88.46469622,60.22167488
79500US4202801,2801,1982,1911,1636,96.41775984,82.54288597
79500US4202802,2802,900,900,788,100,87.55555556
79500US4202900,2900,1893,908,908,47.96619123,47.96619123
79500US4203001,3001,5116,4348,3232,84.98827209,63.17435496
79500US4203002,3002,2513,2407,2078,95.78193394,82.69001194
79500US4203101,3101,1206,997,889,82.66998342,73.71475954
79500US4203102,3102,1441,1413,1163,98.05690493,80.70784178
79500US4203201,3201,820,709,709,86.46341463,86.46341463
79500US4203202,3202,1926,1846,1747,95.8463136,90.70612669
79500US4203203,3203,2403,2058,1209,85.64294632,50.31210986
79500US4203301,3301,4016,3309,2891,82.39541833,71.98705179
79500US4203302,3302,714,714,656,100,91.8767507
79500US4203303,3303,1332,1332,977,100,73.34834835
79500US4203401,3401,5710,5536,4304,96.95271454,75.3765324
79500US4203402,3402,1990,1791,1434,90,72.06030151
79500US4203500,3500,4366,2614,1691,59.87173614,38.73110399
79500US4203600,3600,6391,4065,3430,63.60506963,53.66922234
79500US4203701,3701,1384,1147,992,82.87572254,71.67630058
79500US4203702,3702,1245,685,519,55.02008032,41.68674699
79500US4203801,3801,3669,3432,1968,93.54047424,53.63859362
79500US4203802,3802,521,465,392,89.25143954,75.23992322
79500US4203901,3901,756,756,756,100,100
79500US4203902,3902,1031,1031,1031,100,100
79500US4203903,3903,1498,1397,1304,93.2576769,87.0493992
79500US4203904,3904,3118,3118,2554,100,81.91148172
79500US4204001,4001,560,560,560,100,100
79500US4204002,4002,1026,789,668,76.9005848,65.10721248
79500US4204003,4003,672,672,596,100,88.69047619
79500US4204004,4004,2813,2535,2363,90.11731248,84.00284394
79500US4204005,4005,252,252,252,100,100
79500US4204006,4006,1716,1716,1421,100,82.80885781
79500US4204101,4101,5370,4697,4697,87.46741155,87.46741155
79500US4204102,4102,2406,2130,2130,88.5286783,88.5286783
79500US4204103,4103,4244,4074,3582,95.99434496,84.40150801
79500US4204104,4104,6135,5552,4927,90.49714751,80.30969845
79500US4204105,4105,8086,7770,5658,96.09201088,69.97279248
79500US4204106,4106,4698,4336,4336,92.29459344,92.29459344
79500US4204107,4107,9891,8284,6857,83.75290668,69.32564958
79500US4204108,4108,9364,8993,8438,96.03801794,90.11106365
79500US4204109,4109,5187,3464,3179,66.78234047,61.28783497
79500US4204110,4110,3154,2578,2452,81.73747622,77.74254914
79500US4204111,4111,6954,6042,5469,86.8852459,78.64538395
79500US4204201,4201,487,390,390,80.08213552,80.08213552
79500US4204202,4202,2939,2939,2410,100,82.0006805
79500US4204203,4203,2908,2665,2041,91.6437414,70.18569464
79500US4204204,4204,554,554,554,100,100
79500US4204301,4301,828,828,693,100,83.69565217
79500US4204302,4302,1244,1244,1244,100,100
79500US4204303,4303,831,760,512,91.45607702,61.61251504
