id,middle-income renting households,middle-income homeowning households
j79500US4201701,23592,6633
j79500US4203004,10130,15586
j79500US4203204,12577,12943
j79500US4203601,14644,8587
j79500US4202401,15643,7260
j79500US4203208,15882,6608
j79500US4203202,13424,8685
j79500US4201804,12820,9036
j79500US4203210,15488,6092
j79500US4203201,10947,10526
j79500US4202901,11846,9404
j79500US4203302,11225,9927
j79500US4200600,6368,14597
j79500US4203209,14589,5892
j79500US4203205,12277,8022
j79500US4202702,11944,8306
j79500US4202803,13446,6532
j79500US4203206,12928,5953
j79500US4203303,9344,8776
j79500US4203106,4616,13021
j79500US4203207,12017,5195
j79500US4203003,5299,11899
j79500US4203501,10215,6845
j79500US4200900,8143,8811
j79500US4203211,9461,7354
j79500US4202002,6658,10126
j79500US4203503,5913,10839
j79500US4200101,11385,5315
j79500US4203203,9879,6465
j79500US4202902,4615,11701
j79500US4202302,8057,8253
j79500US4202200,8272,7705
j79500US4203101,6071,9860
j79500US4201502,6916,8404
j79500US4203403,5954,9316
j79500US4202802,5827,9348
j79500US4201900,5881,9265
j79500US4200500,5043,9945
j79500US4200701,8119,6764
j79500US4203102,6831,8029
j79500US4203104,8162,6669
j79500US4202703,3580,11225
j79500US4200300,5438,9218
j79500US4201702,8263,6364
j79500US4203002,5250,9233
j79500US4202500,7523,6901
j79500US4203701,4860,9554
j79500US4201200,9533,4800
j79500US4203900,6653,7662
j79500US4200801,6570,7672
j79500US4203800,5769,8411
j79500US4202801,3913,10173
j79500US4200802,7656,6324
j79500US4203103,5046,8889
j79500US4203001,3507,10354
j79500US4202100,6111,7600
j79500US4200803,4878,8733
j79500US4201600,6211,7349
j79500US4202701,5106,8399
j79500US4202600,4662,8829
j79500US4201100,5643,7600
j79500US4202301,5915,7319
j79500US4203404,4454,8753
j79500US4200702,4443,8723
j79500US4203603,3208,9953
j79500US4203504,6411,6732
j79500US4201802,4123,8961
j79500US4201803,5948,7003
j79500US4201805,7803,4999
j79500US4203304,3548,9112
j79500US4204001,4983,7635
j79500US4201300,6200,6356
j79500US4203502,6088,6327
j79500US4203301,3808,8526
j79500US4203105,5419,6877
j79500US4200102,5293,6974
j79500US4201806,7214,4897
j79500US4200200,5580,6182
j79500US4203602,4097,7533
j79500US4203702,4849,6714
j79500US4201501,5636,5572
j79500US4203402,4444,6580
j79500US4202402,3684,7055
j79500US4200400,3844,6700
j79500US4201801,5848,4497
j79500US4201807,5055,5254
j79500US4201400,3915,5690
j79500US4201000,2833,6728
j79500US4204002,3470,5993
j79500US4202001,3927,5098
j79500US4203401,2827,5945
j79500US4202003,2962,5058
