date,New York,San Francisco,Austin
20111001,63.40,62.70,72.20
20111001,58.00,59.90,67.70
20111001,53.30,59.10,69.40
20111001,55.70,58.80,68.00
20111001,64.20,58.70,72.40
20111001,58.80,57.00,77.00
20111001,57.90,56.70,82.30
20111001,61.80,56.80,78.90
20111001,69.30,56.70,68.80
20111001,71.20,60.10,68.70
20111001,68.70,61.10,70.30
20111001,61.80,61.50,75.30
20111001,63.00,64.30,76.60
20111001,66.90,67.10,66.60
20111001,61.70,64.60,68.00
20111001,61.80,61.60,70.60
20111001,62.80,61.10,71.10
20111001,60.80,59.20,70.00
20111001,62.10,58.90,61.60
20111001,65.10,57.20,57.40
20111001,55.60,56.40,64.30
20111001,54.40,60.70,72.40
20111001,54.40,65.10,72.40
20111001,54.80,60.90,72.50
20111001,57.90,56.10,72.70
20111001,54.60,54.60,73.40
20111001,54.40,56.10,70.70
20111001,42.50,58.10,56.80
20111001,40.90,57.50,51.00
20111001,38.60,57.70,54.90
20111001,44.20,55.10,58.80
20111001,49.60,57.90,62.60
20111001,47.20,64.60,71.00
20111001,50.10,56.20,58.40
20111001,50.10,50.50,45.10
20111001,43.50,51.30,52.20
20111001,43.80,52.60,73.00
20111001,48.90,51.40,75.40
20111001,55.50,50.60,72.10
20111001,53.70,54.60,56.60
20111001,57.70,55.60,55.40
20111001,48.50,53.90,46.70
20111001,46.80,54.00,62.00
20111001,51.10,53.80,71.60
20111001,56.80,53.50,75.50
20111001,59.70,53.40,72.10
20111001,56.50,52.20,65.70
20111001,49.60,52.70,56.80
20111001,41.50,53.10,49.90
20111001,44.30,49.00,71.70
20111001,54.00,50.40,77.70
20111001,54.10,51.10,76.40
20111001,49.40,52.30,68.80
20111001,50.00,54.60,57.00
20111001,44.00,55.10,55.50
20111001,50.30,51.50,61.60
20111001,52.10,53.60,64.10
20111001,49.60,52.30,51.10
20111001,57.20,51.00,43.00
20111001,59.10,49.50,46.40
20111001,50.60,49.80,48.00
20111001,44.30,60.40,48.10
20111001,43.90,62.20,60.60
20111001,42.10,58.30,62.60
20111001,43.90,52.70,57.10
20111001,50.20,51.50,44.20
20111001,54.20,49.90,37.40
20111001,54.60,48.60,35.00
20111001,43.40,46.40,37.00
20111001,42.20,49.80,45.40
20111001,45.00,52.10,50.70
20111001,33.80,48.80,48.60
20111001,36.80,47.40,52.20
20111001,38.60,47.20,60.80
20111001,41.90,46.10,70.00
20111001,49.60,48.80,64.20
20111001,50.20,47.90,50.90
20111001,40.60,49.80,51.60
20111001,29.10,49.10,55.20
20111001,33.70,48.30,62.10
20111001,45.80,49.30,56.30
20111001,47.40,48.40,47.20
20111001,54.40,53.30,52.30
20111001,47.80,47.50,45.20
20111001,34.90,47.90,43.60
20111001,35.90,48.90,42.90
20111001,43.60,45.90,48.20
20111001,42.90,47.20,45.40
20111001,46.20,48.90,44.20
20111001,30.80,50.90,50.40
20111001,40.80,52.90,52.40
20111001,49.80,50.10,53.50
20111001,46.30,53.90,55.90
20111001,43.20,53.10,48.20
20111001,30.30,49.70,41.00
20111001,19.20,52.70,48.90
20111001,32.10,52.60,54.80
20111001,41.20,49.00,61.20
20111001,47.00,51.00,59.70
20111001,46.00,56.80,52.50
20111001,34.70,52.30,54.00
20111001,39.40,51.60,47.70
20111001,40.40,49.80,49.20
20111001,45.40,51.90,48.40
20111001,40.70,53.70,40.20
20111001,30.40,52.90,43.90
20111001,23.90,49.70,45.20
20111001,22.60,45.30,65.00
20111001,39.80,43.60,68.20
20111001,43.20,45.00,47.50
20111001,26.30,47.30,57.10
20111001,32.80,51.40,61.90
20111001,27.40,53.70,54.60
20111001,25.00,48.30,56.70
20111001,39.40,52.90,54.40
20111001,48.70,49.10,52.70
20111001,43.00,52.10,61.80
20111001,37.10,53.60,55.00
20111001,48.20,50.40,50.70
20111001,43.70,50.30,52.90
20111001,40.10,53.80,44.40
20111001,38.00,51.90,49.10
20111001,43.50,50.00,62.80
20111001,50.40,50.00,64.60
20111001,45.80,51.30,61.10
20111001,37.50,51.50,70.00
20111001,40.80,52.00,61.30
20111001,36.50,53.80,48.20
20111001,39.10,54.60,44.20
20111001,43.20,54.30,51.30
20111001,36.50,51.90,49.20
20111001,36.50,53.80,45.70
20111001,38.30,53.90,54.10
20111001,36.90,52.30,44.90
20111001,29.70,50.10,36.50
20111001,33.10,49.50,44.80
20111001,39.60,48.60,52.30
20111001,42.30,49.90,68.00
20111001,39.70,52.40,54.60
