id,PUMA,WGTP,WGTPpov,PCTpov
79500US4200100,100,22112,1362,6.159551375
79500US4200200,200,53090,3819,7.193445093
79500US4200300,300,39784,2975,7.477880555
79500US4200400,400,30502,1734,5.684873123
79500US4200500,500,32901,2125,6.45877025
79500US4200600,600,47329,3524,7.445752076
79500US4200700,700,39935,2985,7.4746463
79500US4200801,801,24948,2045,8.197049864
79500US4200802,802,40527,2375,5.86029067
79500US4200901,901,25693,2684,10.4464251
79500US4200902,902,34697,2007,5.78436176
79500US4200903,903,50510,2739,5.422688577
79500US4201000,1000,33616,2288,6.806282723
79500US4201100,1100,34101,1900,5.571684115
79500US4201200,1200,52440,3153,6.012585812
79500US4201300,1300,29814,2005,6.72502851
79500US4201400,1400,39520,3638,9.205465587
79500US4201500,1500,30566,1796,5.875809723
79500US4201600,1600,35870,1549,4.318371899
79500US4201701,1701,17277,2222,12.86102911
79500US4201702,1702,21043,1322,6.282374186
79500US4201703,1703,31536,2224,7.052257737
79500US4201801,1801,47588,1293,2.717071531
79500US4201802,1802,31005,1506,4.857281084
79500US4201803,1803,40211,1304,3.242893736
79500US4201804,1804,53941,2522,4.675478764
79500US4201805,1805,33233,1036,3.117383324
79500US4201806,1806,34550,2229,6.451519537
79500US4201807,1807,41500,2213,5.33253012
79500US4201900,1900,55536,2817,5.07238548
79500US4202001,2001,35635,3125,8.769468219
79500US4202002,2002,49589,3579,7.217326423
79500US4202101,2101,34517,558,1.616594721
79500US4202102,2102,48594,2665,5.484216158
79500US4202103,2103,36579,1776,4.855244813
79500US4202201,2201,46837,2405,5.134829302
79500US4202202,2202,31886,2100,6.585962491
79500US4202300,2300,40619,4543,11.18442108
79500US4202400,2400,46754,3674,7.858151174
79500US4202501,2501,40232,2890,7.183336647
79500US4202502,2502,30247,3714,12.27890369
79500US4202600,2600,37238,2528,6.788764166
79500US4202700,2700,33115,3915,11.82243696
79500US4202801,2801,34279,921,2.68677616
79500US4202802,2802,31482,1870,5.939902166
79500US4202900,2900,34678,1534,4.423553838
79500US4203001,3001,33074,831,2.51254762
79500US4203002,3002,37969,1131,2.978745819
79500US4203101,3101,40823,965,2.363863508
79500US4203102,3102,37471,1343,3.584105041
79500US4203201,3201,37366,1316,3.521918321
79500US4203202,3202,54460,1339,2.458685274
79500US4203203,3203,28275,1415,5.004420866
79500US4203301,3301,42109,1423,3.379325085
79500US4203302,3302,41133,1056,2.567281745
79500US4203303,3303,43775,838,1.914334666
79500US4203401,3401,52118,3058,5.867454622
79500US4203402,3402,57019,1397,2.450060506
79500US4203500,3500,44908,3988,8.880377661
79500US4203600,3600,21817,708,3.24517578
79500US4203701,3701,50345,1291,2.564306287
79500US4203702,3702,36226,1286,3.54993651
79500US4203801,3801,30108,421,1.398299455
79500US4203802,3802,50623,695,1.372893744
79500US4203901,3901,61866,2422,3.914912876
79500US4203902,3902,46214,1330,2.877915783
79500US4203903,3903,37072,1786,4.817652136
79500US4203904,3904,31131,2482,7.972760271
79500US4204001,4001,32726,805,2.459817882
79500US4204002,4002,44429,1136,2.556888519
79500US4204003,4003,47943,824,1.718707632
79500US4204004,4004,30637,1682,5.490093678
79500US4204005,4005,31841,477,1.498068528
79500US4204006,4006,30832,1032,3.34717177
79500US4204101,4101,37540,2074,5.524773575
79500US4204102,4102,33548,3284,9.788959103
79500US4204103,4103,25501,1131,4.435120191
79500US4204104,4104,34719,5157,14.85353841
79500US4204105,4105,33742,7167,21.24059036
79500US4204106,4106,30663,3420,11.15350748
79500US4204107,4107,18524,3586,19.35866983
79500US4204108,4108,25696,5044,19.62951432
79500US4204109,4109,24606,1322,5.372673332
79500US4204110,4110,29142,4381,15.03328529
79500US4204111,4111,25423,5735,22.55831334
79500US4204201,4201,36500,1110,3.04109589
79500US4204202,4202,41190,2777,6.741927652
79500US4204203,4203,34886,2778,7.963079745
79500US4204204,4204,31530,907,2.876625436
79500US4204301,4301,44818,889,1.983578027
79500US4204302,4302,49966,1595,3.192170676
79500US4204303,4303,38038,1398,3.675272096
