id,PUMA,WGTP,WGTP30,WGTP50,PCTburden30,PCTburden50
79500US4200101,101,1623,1212,1136,74.67652495,69.99383857
79500US4200102,102,1758,1593,1335,90.61433447,75.93856655
79500US4200200,200,1994,1409,1059,70.66198596,53.10932798
79500US4200300,300,3235,2612,1874,80.74188563,57.92890263
79500US4200400,400,2345,1841,1238,78.50746269,52.79317697
79500US4200500,500,2451,2304,1854,94.00244798,75.64259486
79500US4200600,600,3591,2993,2699,83.34725703,75.16012253
79500US4200701,701,1284,1201,1033,93.53582555,80.4517134
79500US4200702,702,2120,2039,1436,96.17924528,67.73584906
79500US4200801,801,1852,1744,1357,94.16846652,73.27213823
79500US4200802,802,1973,1812,1602,91.83983781,81.196148
79500US4200803,803,2436,2167,1753,88.95730706,71.96223317
79500US4200900,900,2554,2438,1451,95.45810493,56.8128426
79500US4201000,1000,1774,1537,1269,86.64036077,71.53325817
79500US4201100,1100,2210,2087,1631,94.43438914,73.80090498
79500US4201200,1200,766,741,568,96.73629243,74.15143603
79500US4201300,1300,2033,1519,907,74.71716675,44.61387113
79500US4201400,1400,1782,1277,772,71.66105499,43.32210999
79500US4201501,1501,1840,1564,1146,85,62.2826087
79500US4201502,1502,2571,2129,1760,82.80824582,68.45585375
79500US4201600,1600,2198,1799,1423,81.84713376,64.74067334
79500US4201701,1701,2076,1787,1449,86.07899807,69.79768786
79500US4201702,1702,3595,2705,2155,75.2433936,59.94436718
79500US4201801,1801,895,751,751,83.91061453,83.91061453
79500US4201802,1802,1661,1635,1413,98.4346779,85.0692354
79500US4201803,1803,1594,1594,1388,100,87.07653701
79500US4201804,1804,2029,1977,1491,97.43716116,73.48447511
79500US4201805,1805,1377,1290,769,93.68191721,55.84604212
79500US4201806,1806,743,743,686,100,92.32839838
79500US4201807,1807,805,805,598,100,74.28571429
79500US4201900,1900,2946,2714,2146,92.12491514,72.84453496
79500US4202001,2001,1843,1758,1115,95.38795442,60.49918611
79500US4202002,2002,3316,3012,2055,90.83232811,61.97225573
79500US4202003,2003,1593,1277,1073,80.16321406,67.3571877
79500US4202100,2100,2902,2330,1559,80.28945555,53.72157133
79500US4202200,2200,2711,2228,1879,82.18369605,69.31021763
79500US4202301,2301,1539,1427,987,92.72254711,64.13255361
79500US4202302,2302,1042,1042,666,100,63.91554702
79500US4202401,2401,700,700,340,100,48.57142857
79500US4202402,2402,1422,1236,785,86.91983122,55.20393812
79500US4202500,2500,1796,1796,1579,100,87.91759465
79500US4202600,2600,2498,2402,2081,96.15692554,83.30664532
79500US4202701,2701,1462,1462,1208,100,82.62653899
79500US4202702,2702,2440,2230,1533,91.39344262,62.82786885
79500US4202703,2703,1184,1160,1160,97.97297297,97.97297297
79500US4202801,2801,1545,1453,1351,94.04530744,87.4433657
79500US4202802,2802,577,577,495,100,85.78856153
79500US4202803,2803,1289,1132,525,87.82001552,40.72924748
79500US4202901,2901,1533,1188,1188,77.49510763,77.49510763
79500US4202902,2902,1363,1217,1047,89.28833456,76.8158474
79500US4203001,3001,2003,2003,2003,100,100
79500US4203002,3002,1087,1087,1087,100,100
79500US4203003,3003,1555,1413,1413,90.8681672,90.8681672
79500US4203004,3004,2686,2686,2599,100,96.76098287
79500US4203101,3101,485,485,424,100,87.42268041
79500US4203102,3102,671,671,671,100,100
79500US4203103,3103,621,621,621,100,100
79500US4203104,3104,1124,966,966,85.9430605,85.9430605
79500US4203105,3105,851,851,761,100,89.42420682
79500US4203106,3106,1186,1186,1186,100,100
79500US4203201,3201,2133,2133,2133,100,100
79500US4203202,3202,2246,2141,1721,95.32502226,76.62511131
79500US4203203,3203,2520,2198,1515,87.22222222,60.11904762
79500US4203204,3204,4866,4340,3486,89.19030004,71.63995068
79500US4203205,3205,4173,3293,2348,78.91205368,56.26647496
79500US4203206,3206,1583,1583,1197,100,75.61591914
79500US4203207,3207,3023,2632,2139,87.06582865,70.75752564
79500US4203208,3208,2488,2488,2198,100,88.34405145
79500US4203209,3209,897,897,897,100,100
79500US4203210,3210,3377,3025,2442,89.57654723,72.31270358
79500US4203211,3211,3374,3071,1942,91.01956135,57.5577949
79500US4203301,3301,1021,1021,1021,100,100
79500US4203302,3302,2045,1472,1238,71.9804401,60.53789731
79500US4203303,3303,1357,1186,1058,87.39867354,77.96610169
79500US4203304,3304,1263,1143,1143,90.49881235,90.49881235
79500US4203401,3401,601,601,601,100,100
79500US4203402,3402,663,663,663,100,100
79500US4203403,3403,906,869,869,95.91611479,95.91611479
79500US4203404,3404,600,600,600,100,100
79500US4203501,3501,1652,1568,1265,94.91525424,76.57384988
79500US4203502,3502,1801,1625,1244,90.2276513,69.07273737
79500US4203503,3503,2945,2815,2585,95.58573854,87.77589134
79500US4203504,3504,1267,1267,1033,100,81.53117601
79500US4203601,3601,1344,1344,1164,100,86.60714286
79500US4203602,3602,481,381,351,79.20997921,72.97297297
79500US4203603,3603,1421,1220,690,85.85503167,48.55735398
79500US4203701,3701,1131,990,747,87.5331565,66.04774536
79500US4203702,3702,977,591,560,60.4912999,57.31832139
79500US4203800,3800,3383,2511,1762,74.22406148,52.08394916
79500US4203900,3900,3507,2308,1179,65.81123467,33.61847733
79500US4204001,4001,1501,1472,1100,98.0679547,73.28447702
79500US4204002,4002,2527,2287,1665,90.50257222,65.88840522
