id,PUMA,WGTP,WGTP30,PCTburden30
79500US4200101,101,1623,1212,74.67652495
79500US4200102,102,1758,1593,90.61433447
79500US4200200,200,1994,1409,70.66198596
79500US4200300,300,3235,2612,80.74188563
79500US4200400,400,2345,1841,78.50746269
79500US4200500,500,2451,2304,94.00244798
79500US4200600,600,3591,2993,83.34725703
79500US4200701,701,1284,1201,93.53582555
79500US4200702,702,2120,2039,96.17924528
79500US4200801,801,1852,1744,94.16846652
79500US4200802,802,1973,1812,91.83983781
79500US4200803,803,2436,2167,88.95730706
79500US4200900,900,2554,2438,95.45810493
79500US4201000,1000,1774,1537,86.64036077
79500US4201100,1100,2210,2087,94.43438914
79500US4201200,1200,766,741,96.73629243
79500US4201300,1300,2033,1519,74.71716675
79500US4201400,1400,1782,1277,71.66105499
79500US4201501,1501,1840,1564,85
79500US4201502,1502,2571,2129,82.80824582
79500US4201600,1600,2198,1799,81.84713376
79500US4201701,1701,2076,1787,86.07899807
79500US4201702,1702,3595,2705,75.2433936
79500US4201801,1801,895,751,83.91061453
79500US4201802,1802,1661,1635,98.4346779
79500US4201803,1803,1594,1594,100
79500US4201804,1804,2029,1977,97.43716116
79500US4201805,1805,1377,1290,93.68191721
79500US4201806,1806,743,743,100
79500US4201807,1807,805,805,100
79500US4201900,1900,2946,2714,92.12491514
79500US4202001,2001,1843,1758,95.38795442
79500US4202002,2002,3316,3012,90.83232811
79500US4202003,2003,1593,1277,80.16321406
79500US4202100,2100,2902,2330,80.28945555
79500US4202200,2200,2711,2228,82.18369605
79500US4202301,2301,1539,1427,92.72254711
79500US4202302,2302,1042,1042,100
79500US4202401,2401,700,700,100
79500US4202402,2402,1422,1236,86.91983122
79500US4202500,2500,1796,1796,100
79500US4202600,2600,2498,2402,96.15692554
79500US4202701,2701,1462,1462,100
79500US4202702,2702,2440,2230,91.39344262
79500US4202703,2703,1184,1160,97.97297297
79500US4202801,2801,1545,1453,94.04530744
79500US4202802,2802,577,577,100
79500US4202803,2803,1289,1132,87.82001552
79500US4202901,2901,1533,1188,77.49510763
79500US4202902,2902,1363,1217,89.28833456
79500US4203001,3001,2003,2003,100
79500US4203002,3002,1087,1087,100
79500US4203003,3003,1555,1413,90.8681672
79500US4203004,3004,2686,2686,100
79500US4203101,3101,485,485,100
79500US4203102,3102,671,671,100
79500US4203103,3103,621,621,100
79500US4203104,3104,1124,966,85.9430605
79500US4203105,3105,851,851,100
79500US4203106,3106,1186,1186,100
79500US4203201,3201,2133,2133,100
79500US4203202,3202,2246,2141,95.32502226
79500US4203203,3203,2520,2198,87.22222222
79500US4203204,3204,4866,4340,89.19030004
79500US4203205,3205,4173,3293,78.91205368
79500US4203206,3206,1583,1583,100
79500US4203207,3207,3023,2632,87.06582865
79500US4203208,3208,2488,2488,100
79500US4203209,3209,897,897,100
79500US4203210,3210,3377,3025,89.57654723
79500US4203211,3211,3374,3071,91.01956135
79500US4203301,3301,1021,1021,100
79500US4203302,3302,2045,1472,71.9804401
79500US4203303,3303,1357,1186,87.39867354
79500US4203304,3304,1263,1143,90.49881235
79500US4203401,3401,601,601,100
79500US4203402,3402,663,663,100
79500US4203403,3403,906,869,95.91611479
79500US4203404,3404,600,600,100
79500US4203501,3501,1652,1568,94.91525424
79500US4203502,3502,1801,1625,90.2276513
79500US4203503,3503,2945,2815,95.58573854
79500US4203504,3504,1267,1267,100
79500US4203601,3601,1344,1344,100
79500US4203602,3602,481,381,79.20997921
79500US4203603,3603,1421,1220,85.85503167
79500US4203701,3701,1131,990,87.5331565
79500US4203702,3702,977,591,60.4912999
79500US4203800,3800,3383,2511,74.22406148
79500US4203900,3900,3507,2308,65.81123467
79500US4204001,4001,1501,1472,98.0679547
79500US4204002,4002,2527,2287,90.50257222
