id,PUMA,WGTP,WGTPpov,PCTpov
79500US4200100,100,15881,5881,37.03167307
79500US4200200,200,14979,3334,22.25782763
79500US4200300,300,10853,2298,21.17386898
79500US4200400,400,8734,2453,28.08564232
79500US4200500,500,9172,2824,30.78935892
79500US4200600,600,8159,2847,34.89398211
79500US4200700,700,13140,2617,19.91628615
79500US4200801,801,18197,5547,30.48304666
79500US4200802,802,9558,3291,34.43188952
79500US4200901,901,19047,6287,33.00782275
79500US4200902,902,8363,1572,18.79708239
79500US4200903,903,16141,3740,23.17080726
79500US4201000,1000,15090,3328,22.05434062
79500US4201100,1100,10289,1883,18.30109826
79500US4201200,1200,15574,3231,20.74611532
79500US4201300,1300,20023,7282,36.3681766
79500US4201400,1400,10880,3587,32.96875
79500US4201500,1500,10079,4336,43.02014089
79500US4201600,1600,9573,2532,26.44938891
79500US4201701,1701,22705,9616,42.35190487
79500US4201702,1702,19906,5824,29.2575103
79500US4201703,1703,16420,4028,24.53105968
79500US4201801,1801,8443,1277,15.12495558
79500US4201802,1802,10529,1650,15.67100389
79500US4201803,1803,12572,1868,14.85841553
79500US4201804,1804,25595,6107,23.86012893
79500US4201805,1805,13792,2497,18.10469838
79500US4201806,1806,6041,1331,22.03277603
79500US4201807,1807,16411,4903,29.87630248
79500US4201900,1900,12216,3129,25.61394892
79500US4202001,2001,7276,1636,22.4848818
79500US4202002,2002,14286,4268,29.87540249
79500US4202101,2101,9227,2647,28.68754742
79500US4202102,2102,13515,3342,24.72807991
79500US4202103,2103,7268,3152,43.36818932
79500US4202201,2201,11897,2882,24.22459444
79500US4202202,2202,6380,2253,35.31347962
79500US4202300,2300,15305,5544,36.22345639
79500US4202400,2400,14173,5825,41.09927327
79500US4202501,2501,12872,4113,31.95307644
79500US4202502,2502,6475,1395,21.54440154
79500US4202600,2600,13958,4334,31.05029374
79500US4202700,2700,7278,2436,33.47073372
79500US4202801,2801,12187,1982,16.26323131
79500US4202802,2802,10406,900,8.648856429
79500US4202900,2900,12377,1960,15.83582451
79500US4203001,3001,20663,5635,27.27096743
79500US4203002,3002,10319,2513,24.35313499
79500US4203101,3101,14348,1295,9.025648174
79500US4203102,3102,9420,1441,15.29723992
79500US4203201,3201,7598,820,10.79231377
79500US4203202,3202,12800,1926,15.046875
79500US4203203,3203,13971,2403,17.19991411
79500US4203301,3301,24253,4342,17.90293984
79500US4203302,3302,13560,859,6.33480826
79500US4203303,3303,12094,1545,12.77492972
79500US4203401,3401,26321,5710,21.69370465
79500US4203402,3402,9519,1990,20.90555731
79500US4203500,3500,12592,4392,34.87928844
79500US4203600,3600,20476,6958,33.98124634
79500US4203701,3701,12385,1465,11.82882519
79500US4203702,3702,6114,1245,20.36310108
79500US4203801,3801,13463,3764,27.95810741
79500US4203802,3802,8758,702,8.01552866
79500US4203901,3901,13963,1131,8.099978515
79500US4203902,3902,9560,1031,10.78451883
79500US4203903,3903,10484,2313,22.06219
79500US4203904,3904,15524,3852,24.81319248
79500US4204001,4001,7497,560,7.469654528
79500US4204002,4002,12931,1026,7.934421158
79500US4204003,4003,11618,672,5.784128077
79500US4204004,4004,15831,2813,17.76893437
79500US4204005,4005,9895,614,6.205154118
79500US4204006,4006,10916,1716,15.72004397
79500US4204101,4101,20578,6445,31.31985616
79500US4204102,4102,15997,2406,15.04032006
79500US4204103,4103,14486,4599,31.74789452
79500US4204104,4104,19557,6718,34.35087181
79500US4204105,4105,18495,8086,43.7199243
79500US4204106,4106,24259,4698,19.36600849
79500US4204107,4107,17904,10360,57.86416443
79500US4204108,4108,21410,9816,45.8477347
79500US4204109,4109,31960,5461,17.08698373
79500US4204110,4110,14260,3772,26.4516129
79500US4204111,4111,25094,9215,36.72192556
79500US4204201,4201,10572,611,5.779417329
79500US4204202,4202,18269,3443,18.84613279
79500US4204203,4203,16349,3452,21.11444125
79500US4204204,4204,7461,761,10.19970513
79500US4204301,4301,12748,912,7.154063382
79500US4204302,4302,13859,1244,8.976116603
79500US4204303,4303,7596,942,12.40126382
