id,PUMA,WGTP,WGTP30,WGTP50,PCTburden30,PCTburden50
79500US4200101,101,6917,6031,4508,87.19097875,65.17276276
79500US4200102,102,2565,2133,1560,83.15789474,60.81871345
79500US4200200,200,2851,2213,1862,77.62188706,65.3104174
79500US4200300,300,3474,2613,1967,75.21588946,56.62061025
79500US4200400,400,2238,1902,1256,84.98659517,56.12153709
79500US4200500,500,2298,1961,1717,85.33507398,74.71714534
79500US4200600,600,1655,1655,1544,100,93.29305136
79500US4200701,701,4317,3681,2953,85.26754691,68.40398425
79500US4200702,702,1815,1726,1649,95.09641873,90.85399449
79500US4200801,801,1995,1776,1564,89.02255639,78.39598997
79500US4200802,802,5654,4937,3781,87.31871242,66.87301026
79500US4200803,803,2099,2099,1230,100,58.59933302
79500US4200900,900,3804,3777,2838,99.29022082,74.60567823
79500US4201000,1000,1096,1096,558,100,50.91240876
79500US4201100,1100,2834,2209,1622,77.94636556,57.2335921
79500US4201200,1200,3329,3329,3329,100,100
79500US4201300,1300,3999,3440,2788,86.02150538,69.71742936
79500US4201400,1400,2510,2335,1132,93.02788845,45.09960159
79500US4201501,1501,3316,2941,2258,88.69119421,68.09408926
79500US4201502,1502,3510,2957,1969,84.24501425,56.0968661
79500US4201600,1600,2886,2548,1919,88.28828829,66.49341649
79500US4201701,1701,12483,10168,9211,81.4547785,73.78835216
79500US4201702,1702,4758,4347,3336,91.36191677,70.11349306
79500US4201801,1801,2374,2374,1759,100,74.09435552
79500US4201802,1802,1509,1509,1412,100,93.57190192
79500US4201803,1803,1938,1202,786,62.02270382,40.55727554
79500US4201804,1804,7020,5890,5361,83.9031339,76.36752137
79500US4201805,1805,4729,3693,2684,78.09262,56.75618524
79500US4201806,1806,2822,2710,1728,96.03118356,61.23316797
79500US4201807,1807,2467,2467,2395,100,97.08147548
79500US4201900,1900,3933,3700,2911,94.07576913,74.01474701
79500US4202001,2001,1929,1565,1025,81.13011923,53.13634007
79500US4202002,2002,3317,3149,2610,94.93518239,78.68555924
79500US4202003,2003,1937,1448,1261,74.75477543,65.10067114
79500US4202100,2100,4250,3484,2384,81.97647059,56.09411765
79500US4202200,2200,4805,4009,3589,83.433923,74.6930281
79500US4202301,2301,2838,2782,2235,98.02677942,78.75264271
79500US4202302,2302,1075,1075,517,100,48.09302326
79500US4202401,2401,7529,6580,5792,87.39540444,76.92920707
79500US4202402,2402,1239,1094,831,88.29701372,67.07021792
79500US4202500,2500,2493,2053,1436,82.35058163,57.60128359
79500US4202600,2600,2899,2584,2087,89.1341842,71.9903415
79500US4202701,2701,785,785,561,100,71.46496815
79500US4202702,2702,7894,6888,5278,87.25614391,66.86090702
79500US4202703,2703,749,637,637,85.04672897,85.04672897
79500US4202801,2801,992,731,694,73.68951613,69.95967742
79500US4202802,2802,1701,1332,1332,78.30687831,78.30687831
79500US4202803,2803,7179,6745,5039,93.95458978,70.19083438
79500US4202901,2901,4185,3328,2977,79.52210275,71.13500597
79500US4202902,2902,663,484,266,73.0015083,40.12066365
79500US4203001,3001,983,911,644,92.67548321,65.51373347
79500US4203002,3002,916,849,849,92.68558952,92.68558952
79500US4203003,3003,999,503,503,50.35035035,50.35035035
79500US4203004,3004,2723,2647,2236,97.20896071,82.11531399
79500US4203101,3101,2927,2881,2627,98.42842501,89.75059788
79500US4203102,3102,1351,1351,1210,100,89.56328645
79500US4203103,3103,1987,1936,1936,97.43331656,97.43331656
79500US4203104,3104,2938,2857,2754,97.24302246,93.73723622
79500US4203105,3105,626,471,422,75.23961661,67.41214058
79500US4203106,3106,1690,1395,1395,82.5443787,82.5443787
79500US4203201,3201,5079,3279,2891,64.55995275,56.92065367
79500US4203202,3202,5509,5393,4112,97.89435469,74.64149573
79500US4203203,3203,5075,4969,4777,97.91133005,94.12807882
79500US4203204,3204,7920,7559,6931,95.44191919,87.51262626
79500US4203205,3205,7987,7312,5935,91.54876675,74.30825091
79500US4203206,3206,5123,5123,4892,100,95.49092329
79500US4203207,3207,6440,5035,4246,78.18322981,65.93167702
79500US4203208,3208,10685,8956,6784,83.81843706,63.49087506
79500US4203209,3209,4446,3703,3184,83.28834908,71.61493477
79500US4203210,3210,7596,7466,6535,98.28857293,86.03212217
79500US4203211,3211,3919,2798,2096,71.39576423,53.48303139
79500US4203301,3301,953,953,953,100,100
79500US4203302,3302,3159,2808,2769,88.88888889,87.65432099
79500US4203303,3303,5065,4406,4086,86.98914116,80.67127345
79500US4203304,3304,562,562,562,100,100
79500US4203401,3401,525,525,525,100,100
79500US4203402,3402,757,757,757,100,100
79500US4203403,3403,1662,1662,1469,100,88.38748496
79500US4203404,3404,1029,1029,869,100,84.45092323
79500US4203501,3501,4242,4144,3360,97.68976898,79.20792079
79500US4203502,3502,2238,2238,2238,100,100
79500US4203503,3503,827,827,827,100,100
79500US4203504,3504,2029,2029,1918,100,94.52932479
79500US4203601,3601,6787,6183,4632,91.10063356,68.24812141
79500US4203602,3602,1057,1057,764,100,72.28003784
79500US4203603,3603,1067,827,659,77.50702905,61.76194939
79500US4203701,3701,1792,1727,895,96.37276786,49.94419643
79500US4203702,3702,1748,1098,1098,62.81464531,62.81464531
79500US4203800,3800,3281,2782,2458,84.79122219,74.91618409
79500US4203900,3900,5149,4494,3522,87.27908332,68.40163138
79500US4204001,4001,2118,1417,1184,66.90273843,55.90179415
79500US4204002,4002,2755,2300,1006,83.4845735,36.5154265
