id,PUMA,WGTP,WGTPpov,PCTpov
79500US4200101,101,22781,1967,8.634388306
79500US4200102,102,47307,2105,4.449658613
79500US4200200,200,37881,2203,5.81558037
79500US4200300,300,52268,3613,6.912451213
79500US4200400,400,31859,2524,7.922408111
79500US4200500,500,46328,2712,5.853911242
79500US4200600,600,42609,3774,8.857283672
79500US4200701,701,24540,1489,6.067644662
79500US4200702,702,38917,2226,5.719865354
79500US4200801,801,36881,1927,5.224912557
79500US4200802,802,30682,2459,8.014471025
79500US4200803,803,35651,2844,7.977335839
79500US4200900,900,42339,2743,6.478660337
79500US4201000,1000,33608,2221,6.608545584
79500US4201100,1100,38435,2358,6.135033173
79500US4201200,1200,31566,766,2.426661598
79500US4201300,1300,42169,2114,5.013161327
79500US4201400,1400,32412,1820,5.615204245
79500US4201501,1501,31541,2194,6.956025491
79500US4201502,1502,45618,2935,6.433863826
79500US4201600,1600,57007,2681,4.702931219
79500US4201701,1701,33227,2829,8.514160171
79500US4201702,1702,29535,3659,12.38869138
79500US4201801,1801,31411,1037,3.301391232
79500US4201802,1802,49764,2173,4.366610401
79500US4201803,1803,38216,1757,4.597550764
79500US4201804,1804,49879,2255,4.520940676
79500US4201805,1805,32580,1857,5.699815838
79500US4201806,1806,38033,1165,3.063129388
79500US4201807,1807,34687,939,2.707066048
79500US4201900,1900,43593,3087,7.081412153
79500US4202001,2001,30407,2154,7.083895156
79500US4202002,2002,47959,3418,7.126920912
79500US4202003,2003,35954,1705,4.742170551
79500US4202100,2100,41229,3010,7.30068641
79500US4202200,2200,50245,3203,6.374763658
79500US4202301,2301,37862,1687,4.455654746
79500US4202302,2302,43674,1042,2.385858863
79500US4202401,2401,36634,895,2.443085658
79500US4202402,2402,33029,1642,4.97138878
79500US4202500,2500,35159,1838,5.227679968
79500US4202600,2600,43128,2728,6.325357077
79500US4202701,2701,35825,1540,4.29867411
79500US4202702,2702,26604,2647,9.949631634
79500US4202703,2703,44659,1396,3.125909671
79500US4202801,2801,38168,1703,4.461852861
79500US4202802,2802,45809,577,1.259577812
79500US4202803,2803,18254,1517,8.310507286
79500US4202901,2901,40095,1533,3.823419379
79500US4202902,2902,43969,1661,3.777661534
79500US4203001,3001,41869,2145,5.123122119
79500US4203002,3002,39853,1287,3.229367927
79500US4203003,3003,46578,1763,3.785048735
79500US4203004,3004,48909,3081,6.299454088
79500US4203101,3101,39685,485,1.222124228
79500US4203102,3102,33073,767,2.319112267
79500US4203103,3103,38337,711,1.854605212
79500US4203104,3104,30045,1391,4.629722084
79500US4203105,3105,34776,951,2.734644582
79500US4203106,3106,48505,1613,3.325430368
79500US4203201,3201,36189,2604,7.195556661
79500US4203202,3202,27138,2328,8.578377183
79500US4203203,3203,27581,2611,9.466661832
79500US4203204,3204,35186,5243,14.90081282
79500US4203205,3205,30218,4448,14.71970349
79500US4203206,3206,27657,1758,6.356437792
79500US4203207,3207,16628,3936,23.67091653
79500US4203208,3208,20959,2816,13.43575552
79500US4203209,3209,29581,1020,3.448159291
79500US4203210,3210,22820,3761,16.48115688
79500US4203211,3211,28667,3812,13.2975198
79500US4203301,3301,36591,1021,2.790303627
79500US4203302,3302,38194,2045,5.354244122
79500US4203303,3303,33711,1451,4.30423304
79500US4203304,3304,34874,1428,4.094741068
79500US4203401,3401,32834,1009,3.07303405
79500US4203402,3402,35722,1194,3.342478025
79500US4203403,3403,42343,906,2.139668895
79500US4203404,3404,30963,806,2.603106934
79500US4203501,3501,25317,1743,6.884701979
79500US4203502,3502,30154,2018,6.692312794
79500US4203503,3503,43486,3148,7.239111438
79500US4203504,3504,34115,1267,3.713908838
79500US4203601,3601,38398,1589,4.138236366
79500US4203602,3602,38884,481,1.237012653
79500US4203603,3603,42981,1709,3.976175519
79500US4203701,3701,37500,1305,3.48
79500US4203702,3702,35480,1266,3.568207441
79500US4203800,3800,41337,3641,8.808089605
79500US4203900,3900,39621,4119,10.39600212
79500US4204001,4001,45007,1581,3.5127869
79500US4204002,4002,29107,2668,9.166179957
