id,PUMA,WGTP,WGTPpov,PCTpov
79500US4200101,101,20118,7345,36.5095934
79500US4200102,102,17091,2970,17.37756714
79500US4200200,200,12197,2915,23.8993195
79500US4200300,300,15681,3606,22.9959824
79500US4200400,400,9454,2238,23.67251957
79500US4200500,500,10176,2442,23.99764151
79500US4200600,600,11194,1898,16.95551188
79500US4200701,701,16379,4824,29.45234752
79500US4200702,702,10606,1895,17.86724496
79500US4200801,801,13828,2526,18.26728377
79500US4200802,802,16780,6343,37.80095352
79500US4200803,803,14095,3475,24.65413267
79500US4200900,900,16218,4023,24.80577137
79500US4201000,1000,10866,1302,11.9823302
79500US4201100,1100,16077,3050,18.97120109
79500US4201200,1200,23207,5539,23.86779851
79500US4201300,1300,13162,4050,30.77039964
79500US4201400,1400,8721,2510,28.78110308
79500US4201501,1501,10008,3481,34.78217426
79500US4201502,1502,14924,3510,23.51916376
79500US4201600,1600,14691,3192,21.72758832
79500US4201701,1701,48548,13706,28.23185301
79500US4201702,1702,18110,4860,26.83600221
79500US4201801,1801,14285,2374,16.61883094
79500US4201802,1802,11386,1695,14.88670297
79500US4201803,1803,16226,2186,13.4722051
79500US4201804,1804,27118,7442,27.44302677
79500US4201805,1805,15214,5373,35.31615617
79500US4201806,1806,17168,2822,16.43755825
79500US4201807,1807,10831,2467,22.77721355
79500US4201900,1900,14565,4311,29.59835221
79500US4202001,2001,8318,1929,23.19067083
79500US4202002,2002,15040,4049,26.92154255
79500US4202003,2003,7130,1962,27.51753156
79500US4202100,2100,13517,4933,36.49478435
79500US4202200,2200,16762,4884,29.13733445
79500US4202301,2301,14411,2879,19.97779474
79500US4202302,2302,16945,1325,7.819415757
79500US4202401,2401,28160,8190,29.08380682
79500US4202402,2402,10089,1441,14.28288235
79500US4202500,2500,16750,2639,15.75522388
79500US4202600,2600,11854,3388,28.58106968
79500US4202701,2701,9372,785,8.376013658
79500US4202702,2702,21757,8128,37.35809165
79500US4202703,2703,8666,1179,13.60489268
79500US4202801,2801,10008,1014,10.13189448
79500US4202802,2802,13797,1947,14.11176343
79500US4202803,2803,23429,7547,32.21221563
79500US4202901,2901,22199,4429,19.95134916
79500US4202902,2902,11143,810,7.269137575
79500US4203001,3001,9831,983,9.998982809
79500US4203002,3002,10091,916,9.077395699
79500US4203003,3003,14656,1206,8.22871179
79500US4203004,3004,18806,2892,15.37807083
79500US4203101,3101,10716,3063,28.58342665
79500US4203102,3102,12746,1849,14.50651185
79500US4203103,3103,14605,1987,13.60492982
79500US4203104,3104,14592,3123,21.40213816
79500US4203105,3105,11554,626,5.418037043
79500US4203106,3106,14415,2434,16.88518904
79500US4203201,3201,19583,5079,25.93576061
79500US4203202,3202,22038,6523,29.59887467
79500US4203203,3203,19446,6649,34.19212177
79500US4203204,3204,20528,9748,47.48636009
79500US4203205,3205,23100,8584,37.16017316
79500US4203206,3206,25353,5895,23.25168619
79500US4203207,3207,20681,7445,35.99922634
79500US4203208,3208,25708,12619,49.08588766
79500US4203209,3209,39372,5226,13.27339226
79500US4203210,3210,27193,9497,34.92442908
79500US4203211,3211,17827,3919,21.98350816
79500US4203301,3301,8603,1061,12.33290713
79500US4203302,3302,21387,4013,18.76373498
79500US4203303,3303,18030,5364,29.75041597
79500US4203304,3304,7376,562,7.619305857
79500US4203401,3401,8886,808,9.09295521
79500US4203402,3402,12701,757,5.960160617
79500US4203403,3403,12868,2017,15.6745415
79500US4203404,3404,8391,1029,12.26313908
79500US4203501,3501,19045,5677,29.80834865
79500US4203502,3502,13365,2238,16.74523008
79500US4203503,3503,13368,1202,8.991621783
79500US4203504,3504,12185,2228,18.28477636
79500US4203601,3601,22875,7008,30.63606557
79500US4203602,3602,9053,1057,11.67568762
79500US4203603,3603,9844,1067,10.8390898
79500US4203701,3701,9861,1824,18.49710983
79500US4203702,3702,12733,1748,13.72810807
79500US4203800,3800,11222,3579,31.89271075
79500US4203900,3900,13553,5886,43.429499
79500US4204001,4001,11311,2118,18.72513482
79500US4204002,4002,9383,2755,29.36161142
