id,PUMA,WGTP,WGTP30,WGTP50,PCTburden30,PCTburden50
79500US4200100,100,8342,7740,6401,92.78350515,76.73219851
79500US4200200,200,2935,2692,2176,91.72061329,74.13969336
79500US4200300,300,4085,3816,2372,93.41493268,58.06609547
79500US4200400,400,2037,1998,1349,98.08541973,66.22484045
79500US4200500,500,2227,1846,1095,82.89178267,49.16928604
79500US4200600,600,2127,2102,1901,98.82463564,89.37470616
79500US4200700,700,2245,2245,2072,100,92.29398664
79500US4200801,801,3322,2937,2617,88.41059603,78.77784467
79500US4200802,802,1751,1310,860,74.81439178,49.11479155
79500US4200901,901,5987,5252,3736,87.7234007,62.40187072
79500US4200902,902,1820,1820,1471,100,80.82417582
79500US4200903,903,3484,3325,2076,95.43628014,59.58668197
79500US4201000,1000,4027,3713,2593,92.20263223,64.39036504
79500US4201100,1100,1838,1334,865,72.5788901,47.06202394
79500US4201200,1200,3375,3161,2672,93.65925926,79.17037037
79500US4201300,1300,6628,6466,5936,97.55582378,89.55944478
79500US4201400,1400,3929,3446,2200,87.70679562,55.99389158
79500US4201500,1500,2260,2092,1924,92.56637168,85.13274336
79500US4201600,1600,2499,1908,1463,76.35054022,58.54341737
79500US4201701,1701,6286,5429,4582,86.36652879,72.89214127
79500US4201702,1702,6106,5567,4590,91.1726171,75.171962
79500US4201703,1703,4438,3668,3300,82.64984227,74.35781884
79500US4201801,1801,2315,2046,1582,88.38012959,68.33693305
79500US4201802,1802,2750,2289,2193,83.23636364,79.74545455
79500US4201803,1803,1443,1248,791,86.48648649,54.81635482
79500US4201804,1804,5601,4247,3426,75.8257454,61.16764863
79500US4201805,1805,1495,1495,1314,100,87.89297659
79500US4201806,1806,1090,1018,1018,93.39449541,93.39449541
79500US4201807,1807,5041,4019,2704,79.72624479,53.64015076
79500US4201900,1900,3111,2816,2305,90.51751848,74.09193185
79500US4202001,2001,2802,2004,1743,71.52034261,62.20556745
79500US4202002,2002,5302,4767,3633,89.90946813,68.52131271
79500US4202101,2101,2851,2694,2144,94.49316029,75.20168362
79500US4202102,2102,2402,1859,1483,77.39383847,61.74021649
79500US4202103,2103,2936,2607,2069,88.79427793,70.47002725
79500US4202201,2201,2039,1932,1515,94.75232957,74.301128
79500US4202202,2202,3469,3267,2358,94.17699625,67.97347939
79500US4202300,2300,4577,3673,2590,80.24907144,56.58728425
79500US4202400,2400,3826,3588,2873,93.77940408,75.09147935
79500US4202501,2501,3299,3037,2240,92.05819945,67.89936344
79500US4202502,2502,2228,2164,867,97.12746858,38.91382406
79500US4202600,2600,3504,2843,2460,81.13584475,70.20547945
79500US4202700,2700,2756,2428,1803,88.09869376,65.42089985
79500US4202801,2801,1576,1546,1340,98.0964467,85.02538071
79500US4202802,2802,2314,2008,1646,86.7761452,71.13223855
79500US4202900,2900,1810,1785,1655,98.61878453,91.43646409
79500US4203001,3001,8556,7006,5758,81.88405797,67.29780271
79500US4203002,3002,2381,2171,2079,91.1801764,87.31625367
79500US4203101,3101,2633,2633,2633,100,100
79500US4203102,3102,2272,2029,1600,89.30457746,70.42253521
79500US4203201,3201,1259,1156,1103,91.81890389,87.60921366
79500US4203202,3202,2592,2485,2364,95.87191358,91.2037037
79500US4203203,3203,3625,3310,2753,91.31034483,75.94482759
79500US4203301,3301,6719,5989,5112,89.13528799,76.08275041
79500US4203302,3302,2938,2846,2358,96.86861811,80.25867937
79500US4203303,3303,1764,1632,1508,92.5170068,85.48752834
79500US4203401,3401,9349,8887,7430,95.058295,79.47374051
79500US4203402,3402,2075,1940,1910,93.4939759,92.04819277
79500US4203500,3500,3216,2698,1374,83.89303483,42.7238806
79500US4203600,3600,6424,5630,5007,87.64009963,77.94209215
79500US4203701,3701,2397,2397,1748,100,72.92448894
79500US4203702,3702,2135,1990,1583,93.20843091,74.14519906
79500US4203801,3801,5180,3978,2828,76.7953668,54.59459459
79500US4203802,3802,995,861,811,86.53266332,81.50753769
79500US4203901,3901,1078,1078,1002,100,92.94990724
79500US4203902,3902,1073,1073,1019,100,94.96738117
79500US4203903,3903,749,749,692,100,92.38985314
79500US4203904,3904,1482,1301,1085,87.78677463,73.21187584
79500US4204001,4001,1293,952,645,73.62722351,49.88399072
79500US4204002,4002,1212,1212,1212,100,100
79500US4204003,4003,1284,1284,1284,100,100
79500US4204004,4004,2683,2683,2603,100,97.01826314
79500US4204005,4005,1701,1292,1202,75.9553204,70.66431511
79500US4204006,4006,978,888,888,90.79754601,90.79754601
79500US4204101,4101,2615,2176,2028,83.21223709,77.55258126
79500US4204102,4102,4576,3951,3762,86.34178322,82.21153846
79500US4204103,4103,6112,5760,5360,94.2408377,87.69633508
79500US4204104,4104,5629,5194,4073,92.27216202,72.35743471
79500US4204105,4105,10284,10284,9006,100,87.57292882
79500US4204106,4106,4258,3883,3611,91.19304838,84.8050728
79500US4204107,4107,10935,7902,6197,72.26337449,56.67123914
79500US4204108,4108,9090,7563,7017,83.20132013,77.19471947
79500US4204109,4109,4856,4343,3995,89.43574959,82.2693575
79500US4204110,4110,4198,3866,3316,92.09147213,78.98999524
79500US4204111,4111,8133,7307,6218,89.84384606,76.45395303
79500US4204201,4201,446,446,446,100,100
79500US4204202,4202,3196,3118,2912,97.55944931,91.11389237
79500US4204203,4203,3844,3672,3236,95.52549428,84.18314256
79500US4204204,4204,365,365,365,100,100
79500US4204301,4301,404,404,404,100,100
79500US4204302,4302,1731,1731,1731,100,100
79500US4204303,4303,2217,1876,1641,84.61885431,74.01894452
