id,PUMA,WGTP,WGTPpov,PCTpov
79500US4200100,100,19435,8528,43.87959866
79500US4200200,200,13939,3174,22.77064352
79500US4200300,300,12698,4195,33.03669869
79500US4200400,400,7770,2063,26.55083655
79500US4200500,500,7961,2389,30.00879287
79500US4200600,600,10358,2843,27.44738366
79500US4200700,700,9290,2525,27.17976319
79500US4200801,801,18307,3748,20.4730431
79500US4200802,802,9587,1751,18.26431626
79500US4200901,901,16799,6505,38.72254301
79500US4200902,902,9362,2370,25.31510361
79500US4200903,903,16856,3786,22.4608448
79500US4201000,1000,13405,4166,31.07795599
79500US4201100,1100,11276,1982,17.57715502
79500US4201200,1200,15920,3807,23.91331658
79500US4201300,1300,21814,7091,32.50664711
79500US4201400,1400,9989,3929,39.33326659
79500US4201500,1500,7514,2975,39.59276018
79500US4201600,1600,10454,2757,26.37268031
79500US4201701,1701,20796,7038,33.84304674
79500US4201702,1702,22933,7069,30.82457594
79500US4201703,1703,17471,4964,28.41279835
79500US4201801,1801,12471,2345,18.80362441
79500US4201802,1802,13787,2825,20.49031697
79500US4201803,1803,14331,1443,10.06908101
79500US4201804,1804,24772,5924,23.91409656
79500US4201805,1805,14356,1581,11.01281694
79500US4201806,1806,7764,1090,14.03915507
79500US4201807,1807,15796,5309,33.60977463
79500US4201900,1900,15154,3111,20.52923321
79500US4202001,2001,8333,2873,34.4773791
79500US4202002,2002,17339,6278,36.20739374
79500US4202101,2101,9628,3349,34.78396344
79500US4202102,2102,15258,2475,16.22099882
79500US4202103,2103,10291,3382,32.86366728
79500US4202201,2201,10951,2108,19.24938362
79500US4202202,2202,8832,3469,39.27762681
79500US4202300,2300,12645,4750,37.56425465
79500US4202400,2400,13371,5068,37.90292424
79500US4202501,2501,11771,3526,29.95497409
79500US4202502,2502,7275,2261,31.0790378
79500US4202600,2600,13110,3793,28.93211289
79500US4202700,2700,8084,3050,37.72884711
79500US4202801,2801,10786,1576,14.61153347
79500US4202802,2802,9741,2314,23.75526127
79500US4202900,2900,13967,1810,12.95911792
79500US4203001,3001,23664,8908,37.64367816
79500US4203002,3002,12112,2748,22.68824306
79500US4203101,3101,14021,2633,18.7789744
79500US4203102,3102,11497,2322,20.19657302
79500US4203201,3201,7144,1314,18.39305711
79500US4203202,3202,14615,2592,17.73520356
79500US4203203,3203,13162,3997,30.36772527
79500US4203301,3301,25546,6958,27.23714084
79500US4203302,3302,15923,3224,20.24744081
79500US4203303,3303,13473,2114,15.69064054
79500US4203401,3401,28394,9562,33.67612876
79500US4203402,3402,13008,2075,15.95172202
79500US4203500,3500,12027,3308,27.50478091
79500US4203600,3600,23531,7321,31.11214993
79500US4203701,3701,14837,2397,16.15555705
79500US4203702,3702,7628,2489,32.629785
79500US4203801,3801,15523,5242,33.76924564
79500US4203802,3802,9909,995,10.04137653
79500US4203901,3901,13034,1178,9.037900875
79500US4203902,3902,7177,1286,17.91835029
79500US4203903,3903,9643,876,9.084309862
79500US4203904,3904,14288,1482,10.37234043
79500US4204001,4001,8925,1293,14.48739496
79500US4204002,4002,14445,1463,10.128072
79500US4204003,4003,13457,1284,9.541502564
79500US4204004,4004,17067,2683,15.72039609
79500US4204005,4005,11269,1888,16.7539267
79500US4204006,4006,12102,1052,8.692778053
79500US4204101,4101,17409,3227,18.53638922
79500US4204102,4102,16023,4959,30.94926044
79500US4204103,4103,16333,6938,42.47841793
79500US4204104,4104,20376,6262,30.732234
79500US4204105,4105,23141,11719,50.64171816
79500US4204106,4106,21845,5100,23.3463035
79500US4204107,4107,22800,12106,53.09649123
79500US4204108,4108,23005,11387,49.49793523
79500US4204109,4109,38056,5360,14.08450704
79500US4204110,4110,16109,4391,27.2580545
79500US4204111,4111,27707,11661,42.08683726
79500US4204201,4201,9221,783,8.491486824
79500US4204202,4202,17968,3304,18.38824577
79500US4204203,4203,17512,4146,23.67519415
79500US4204204,4204,9677,365,3.771830113
79500US4204301,4301,12419,404,3.253079958
79500US4204302,4302,15948,2166,13.58164033
79500US4204303,4303,12742,2277,17.8700361
