NAMELSAD10,id_j,middle-income renting households,middle-income homeowning households
"Erie City, Lawrence Park Township & Wesleyville Borough PUMA",j79500US4200101,11385,5315
Crawford & Warren Counties PUMA,j79500US4200200,5580,6182
"Bradford, Tioga & Sullivan Counties PUMA",j79500US4200400,3844,6700
"Pike, Wayne & Susquehanna Counties PUMA",j79500US4200500,5043,9945
Monroe County PUMA,j79500US4200600,6368,14597
"Lackawanna County--Scranton City, Dunmore, Old Forge, Taylor & Moosic Boroughs PUMA",j79500US4200701,8119,6764
Luzerne County (South Central)--Wilkes-Barre & Hazleton Cities PUMA,j79500US4200802,7656,6324
Northumberland & Montour Counties PUMA,j79500US4201000,2833,6728
"Mifflin, Union, Snyder & Juniata Counties PUMA",j79500US4201100,5643,7600
Mercer County PUMA,j79500US4201400,3915,5690
Beaver County (South) PUMA,j79500US4201502,6916,8404
Butler County PUMA,j79500US4201600,6211,7349
Pittsburgh City (South) PUMA,j79500US4201702,8263,6364
Allegheny County (West) PUMA,j79500US4201801,5848,4497
"Allegheny County (Southeast)--West Mifflin Borough, McKeesport City & Munhall Borough PUMA",j79500US4201805,7803,4999
Allegheny County (South Central)--Baldwin & Whitehall Boroughs PUMA,j79500US4201806,7214,4897
Indiana & Armstrong Counties PUMA,j79500US4201900,5881,9265
Westmoreland County (East) PUMA,j79500US4202003,2962,5058
Cambria County PUMA,j79500US4202100,6111,7600
Blair & Huntingdon Counties--Altoona City PUMA,j79500US4202200,8272,7705
Cumberland (West) & Perry Counties--Carlisle Borough PUMA,j79500US4202301,5915,7319
Cumberland County (East) PUMA,j79500US4202302,8057,8253
Lebanon County PUMA,j79500US4202500,7523,6901
Schuylkill County PUMA,j79500US4202600,4662,8829
Berks County (Northwest)--Wyomissing Borough PUMA,j79500US4202701,5106,8399
Berks County (East) PUMA,j79500US4202703,3580,11225
Northampton (South) & Lehigh (East) Counties--Bethlehem (East) & Easton Cities PUMA,j79500US4202901,11846,9404
Northampton County (North) PUMA,j79500US4202902,4615,11701
Bucks County (North) PUMA,j79500US4203001,3507,10354
Bucks County (Central) PUMA,j79500US4203002,5250,9233
Bucks County (Southeast)--Levittown PUMA,j79500US4203003,5299,11899
Bucks County (Southwest) PUMA,j79500US4203004,10130,15586
Montgomery County (Northwest)--Pottstown Borough PUMA,j79500US4203101,6071,9860
Montgomery County (Northeast)--Lansdale Borough PUMA,j79500US4203102,6831,8029
Montgomery County (Southwest)--King of Prussia & Ardmore (East) PUMA,j79500US4203103,5046,8889
Montgomery County (Central)--Norristown Borough PUMA,j79500US4203104,8162,6669
"Montgomery County (Southeast)--Willow Grove, Horsham & Montgomeryville PUMA",j79500US4203105,5419,6877
Montgomery County (South Central) PUMA,j79500US4203106,4616,13021
Philadelphia City (Near Northeast-West) PUMA,j79500US4203202,13424,8685
Philadelphia City (Near Northeast-East) PUMA,j79500US4203203,9879,6465
Philadelphia City (North) PUMA,j79500US4203204,12577,12943
Philadelphia City (East) PUMA,j79500US4203205,12277,8022
Philadelphia City (Northwest) PUMA,j79500US4203206,12928,5953
Philadelphia City (Central) PUMA,j79500US4203207,12017,5195
Philadelphia City (West) PUMA,j79500US4203208,15882,6608
Philadelphia City (Southwest) PUMA,j79500US4203210,15488,6092
Philadelphia City (Southeast) PUMA,j79500US4203211,9461,7354
Delaware County (North)--Broomall & Ardmore (West) PUMA,j79500US4203301,3808,8526
"Delaware County (East)--Yeadon, Darby, Lansdowne Boroughs & Drexel Hill PUMA",j79500US4203302,11225,9927
Delaware County (West) PUMA,j79500US4203304,3548,9112
Chester County (East Central)--West Chester Borough PUMA,j79500US4203402,4444,6580
Chester County (South) PUMA,j79500US4203404,4454,8753
"Lancaster County--Lancaster City, East Lampeter, Lancaster & West Lampeter Townships PUMA",j79500US4203501,10215,6845
Lancaster County (East)--Ephrata Borough PUMA,j79500US4203503,5913,10839
Lancaster County (Southwest)--Columbia Borough PUMA,j79500US4203504,6411,6732
York County (South) PUMA,j79500US4203603,3208,9953
Franklin County (Outside Washington Township & Waynesboro Borough) PUMA,j79500US4203702,4849,6714
Fayette County PUMA,j79500US4203900,6653,7662
Washington (South) & Greene Counties PUMA,j79500US4204002,3470,5993
Lycoming & Clinton Counties PUMA,j79500US4200900,8143,8811
Lawrence & Beaver (North) Counties--New Castle City PUMA,j79500US4201501,5636,5572
Lackawanna (Outside Greater Scranton City) & Wyoming Counties PUMA,j79500US4200702,4443,8723
Lehigh County (South--Outside Allentown & Bethlehem Cities)--Emmaus Borough PUMA,j79500US4202802,5827,9348
Centre County PUMA,j79500US4201200,9533,4800
Columbia & Luzerne (West) Counties--Bloomsburg Town & Berwick Borough PUMA,j79500US4200803,4878,8733
Erie County (Outer) PUMA,j79500US4200102,5293,6974
"Clearfield, McKean, Elk, Potter & Cameron Counties PUMA",j79500US4200300,5438,9218
Luzerne County (East)--Kingston Borough PUMA,j79500US4200801,6570,7672
"Venango, Jefferson, Clarion & Forest Counties PUMA",j79500US4201300,6200,6356
"Allegheny County (East)--Monroeville Municipality, Plum & Wilkinsburg Boroughs PUMA",j79500US4201804,12820,9036
Westmoreland County (Northwest)--Murrysville Municipality & New Kensington City PUMA,j79500US4202001,3927,5098
Dauphin County (Outer)--Hershey PUMA,j79500US4202402,3684,7055
Carbon & Lehigh (North) Counties PUMA,j79500US4202801,3913,10173
Philadelphia City (Far Northeast) PUMA,j79500US4203201,10947,10526
Philadelphia City (Center City) PUMA,j79500US4203209,14589,5892
Delaware County (Southeast)--Chester City PUMA,j79500US4203303,9344,8776
York County (North)--Weigelstown PUMA,j79500US4203602,4097,7533
