id,PUMA,WGTPr,WGTP30r,WGTP50r,WGTPh,WGTP30h,WGTP50h,total30
79500US4200101,101,18585,11385,5635,21012,5315,2439,16700
79500US4200102,102,15644,5293,2293,39493,6974,2574,12267
79500US4200200,200,11688,5580,2774,34622,6182,2636,11762
79500US4200300,300,14926,5438,2356,47899,9218,3474,14656
79500US4200400,400,9070,3844,1786,28314,6700,2819,10544
79500US4200500,500,9402,5043,2574,38825,9945,4445,14988
79500US4200600,600,10556,6368,3884,35949,14597,6860,20965
79500US4200701,701,15903,8119,4841,21181,6764,2802,14883
79500US4200702,702,9631,4443,2389,31610,8723,4251,13166
79500US4200801,801,13074,6570,3719,31309,7672,3868,14242
79500US4200802,802,15951,7656,4829,26815,6324,3042,13980
79500US4200803,803,13563,4878,1675,30423,8733,2972,13611
79500US4200900,900,15844,8143,4681,36367,8811,3867,16954
79500US4201000,1000,9762,2833,1166,30421,6728,2869,9561
79500US4201100,1100,15472,5643,2729,34455,7600,2395,13243
79500US4201200,1200,21391,9533,4956,23648,4800,1551,14333
79500US4201300,1300,12775,6200,3108,39513,6356,1496,12556
79500US4201400,1400,8082,3915,1629,28949,5690,1690,9605
79500US4201501,1501,9564,5636,2460,26948,5572,2089,11208
79500US4201502,1502,14019,6916,2589,39890,8404,3685,15320
79500US4201600,1600,13493,6211,3155,46590,7349,2798,13560
79500US4201701,1701,41771,23592,15116,23452,6633,2912,30225
79500US4201702,1702,16371,8263,4456,24917,6364,3489,14627
79500US4201801,1801,12080,5848,2563,24098,4497,2953,10345
79500US4201802,1802,10167,4123,2467,33991,8961,5051,13084
79500US4201803,1803,14372,5948,1945,29322,7003,3446,12951
79500US4201804,1804,25444,12820,6937,42191,9036,3000,21856
79500US4201805,1805,14346,7803,3517,28970,4999,1774,12802
79500US4201806,1806,15279,7214,2866,27585,4897,1959,12111
79500US4201807,1807,10009,5055,3011,25367,5254,1009,10309
79500US4201900,1900,13624,5881,3542,38145,9265,4137,15146
79500US4202001,2001,7941,3927,1295,24837,5098,1854,9025
79500US4202002,2002,14471,6658,3579,39624,10126,4645,16784
79500US4202003,2003,6989,2962,1400,31053,5058,1890,8020
79500US4202100,2100,13006,6111,2939,37372,7600,3050,13711
79500US4202200,2200,15299,8272,5226,45225,7705,3666,15977
79500US4202301,2301,13633,5915,3181,32113,7319,2480,13234
79500US4202302,2302,14677,8057,3098,34295,8253,2766,16310
79500US4202401,2401,26919,15643,8142,29189,7260,1881,22903
79500US4202402,2402,9471,3684,1375,27805,7055,2429,10739
79500US4202500,2500,16144,7523,3948,30050,6901,3378,14424
79500US4202600,2600,11385,4662,2477,38183,8829,3333,13491
79500US4202701,2701,8818,5106,1912,29349,8399,3142,13505
79500US4202702,2702,20599,11944,6436,23289,8306,3172,20250
79500US4202703,2703,8234,3580,1697,36720,11225,4305,14805
79500US4202801,2801,8933,3913,1888,30601,10173,3831,14086
79500US4202802,2802,12731,5827,3110,34252,9348,2679,15175
79500US4202803,2803,22828,13446,6790,15044,6532,2073,19978
79500US4202901,2901,20120,11846,5429,30790,9404,3603,21250
79500US4202902,2902,10209,4615,813,36743,11701,3895,16316
79500US4203001,3001,7201,3507,1742,29762,10354,5395,13861
79500US4203002,3002,9257,5250,2764,22806,9233,4132,14483
79500US4203003,3003,11531,5299,2957,32370,11899,5559,17198
79500US4203004,3004,15879,10130,4105,35784,15586,6962,25716
79500US4203101,3101,9944,6071,4222,28527,9860,3640,15931
79500US4203102,3102,11214,6831,3170,22961,8029,3391,14860
79500US4203103,3103,10402,5046,2618,19514,8889,3407,13935
79500US4203104,3104,12339,8162,5873,17341,6669,3107,14831
79500US4203105,3105,9926,5419,1965,20527,6877,3327,12296
79500US4203106,3106,11746,4616,2480,28679,13021,5449,17637
79500US4203201,3201,18476,10947,5000,29952,10526,5310,21473
79500US4203202,3202,20379,13424,7092,23627,8685,2913,22109
79500US4203203,3203,17836,9879,6098,24549,6465,1845,16344
79500US4203204,3204,19478,12577,8617,32289,12943,7371,25520
79500US4203205,3205,22007,12277,7472,26929,8022,3936,20299
79500US4203206,3206,22041,12928,8328,20496,5953,3207,18881
79500US4203207,3207,19721,12017,6480,14946,5195,2482,17212
79500US4203208,3208,25207,15882,9494,18664,6608,3157,22490
79500US4203209,3209,24257,14589,6973,11941,5892,3129,20481
79500US4203210,3210,25842,15488,9213,18611,6092,3532,21580
79500US4203211,3211,16109,9461,4710,23131,7354,4035,16815
79500US4203301,3301,6355,3808,2487,22770,8526,4653,12334
79500US4203302,3302,19188,11225,4602,29154,9927,4245,21152
79500US4203303,3303,17567,9344,5719,27756,8776,3606,18120
79500US4203304,3304,5192,3548,1808,23336,9112,3097,12660
79500US4203401,3401,6351,2827,1278,17013,5945,1975,8772
79500US4203402,3402,9213,4444,2297,20826,6580,2903,11024
79500US4203403,3403,11354,5954,2636,28834,9316,3587,15270
79500US4203404,3404,7898,4454,2235,20215,8753,3214,13207
79500US4203501,3501,17992,10215,5287,21103,6845,2395,17060
79500US4203502,3502,11741,6088,3153,25458,6327,2610,12415
79500US4203503,3503,12729,5913,3388,35710,10839,5011,16752
79500US4203504,3504,11278,6411,3881,25294,6732,3148,13143
79500US4203601,3601,22441,14644,6441,32292,8587,2282,23231
79500US4203602,3602,8473,4097,1587,33429,7533,1782,11630
79500US4203603,3603,8543,3208,1625,37034,9953,3280,13161
79500US4203701,3701,9597,4860,1230,31600,9554,2477,14414
79500US4203702,3702,12027,4849,2428,30920,6714,2097,11563
79500US4203800,3800,11127,5769,2834,37508,8411,2880,14180
79500US4203900,3900,13337,6653,3940,35282,7662,2442,14315
79500US4204001,4001,10353,4983,1924,33842,7635,2664,12618
79500US4204002,4002,9138,3470,1040,24411,5993,2341,9463
